geometry_sha256,mesh_id,material,role,lc,status,problems,mass_g,max_vm_raw_MPa,raw_peak_location_deck,raw_peak_zone,max_vm_away_MPa,away_peak_location_deck,max_disp_mm,displacement_location_deck,disp_ratio_to_ti,yield_MPa,sf_raw,sf_away,yield_exceeded_raw,yield_exceeded_away,meets_sf_1p5_away,force_residual_N,force_residual_pct,moment_residual_Nmm,moment_residual_pct,wall_s,ccx_warnings,deck,frd,map
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,Al 6061-T651 plate,project comparison,LC3,valid,,766.1,954.0,"[-6.11, -144.51, 7.85]",bolt exclusion,408.8,"[-26.47, -94.62, 22.73]",0.4522,"[-23.35, -75.58, 1.24]",1.649,241.3,0.253,0.59,True,True,False,"[0.006, 0.006, -0.001]",0.0,"[0.3, -0.3, 0.1]",0.0,50.3,0,data/ge_manual/matrix/L1/al6061_t651/LC3/al6061_t651_LC3.inp,data/ge_manual/matrix/L1/al6061_t651/LC3/al6061_t651_LC3.frd,out/ge_manual_matrix/maps/al6061_t651_LC3.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,Al 6061-T651 plate,project comparison,LC4,valid,,766.1,394.0,"[-14.85, -92.05, 36.98]",pin exclusion,155.8,"[-15.42, -56.49, 31.46]",0.0874,"[-37.61, -92.8, 45.02]",1.646,241.3,0.612,1.549,True,False,True,"[-0.0, 0.0, 0.0]",0.0,"[-0.0, 0.0, 0.1]",0.0,50.6,0,data/ge_manual/matrix/L1/al6061_t651/LC4/al6061_t651_LC4.inp,data/ge_manual/matrix/L1/al6061_t651/LC4/al6061_t651_LC4.frd,out/ge_manual_matrix/maps/al6061_t651_LC4.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,17-4PH (UNS S17400) H1025,project comparison,LC1,valid,,2214.8,1817.5,"[-6.11, -144.51, 7.85]",bolt exclusion,434.1,"[-25.9, -94.33, 23.2]",0.2332,"[-38.71, -59.19, 49.0]",0.563,999.7,0.55,2.303,True,False,True,"[-0.002, -0.008, 0.014]",0.0,"[-1.7, -0.3, 0.0]",0.0,50.7,0,data/ge_manual/matrix/L1/ss17_4ph_h1025/LC1/ss17_4ph_h1025_LC1.inp,data/ge_manual/matrix/L1/ss17_4ph_h1025/LC1/ss17_4ph_h1025_LC1.frd,out/ge_manual_matrix/maps/ss17_4ph_h1025_LC1.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,17-4PH (UNS S17400) H1025,project comparison,LC2,valid,,2214.8,1038.9,"[-4.65, -5.69, 7.85]",bolt exclusion,216.6,"[53.73, -8.68, 9.4]",0.1166,"[-29.88, -91.14, 59.82]",0.557,999.7,0.962,4.615,True,False,True,"[-0.004, -0.002, -0.004]",0.0,"[-0.3, 0.5, -0.5]",0.0,50.2,0,data/ge_manual/matrix/L1/ss17_4ph_h1025/LC2/ss17_4ph_h1025_LC2.inp,data/ge_manual/matrix/L1/ss17_4ph_h1025/LC2/ss17_4ph_h1025_LC2.frd,out/ge_manual_matrix/maps/ss17_4ph_h1025_LC2.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,17-4PH (UNS S17400) H1025,project comparison,LC3,valid,,2214.8,987.1,"[-6.11, -144.51, 7.85]",bolt exclusion,415.6,"[-26.47, -94.62, 22.73]",0.1549,"[-23.35, -75.58, 1.24]",0.565,999.7,1.013,2.405,False,False,True,"[-0.001, -0.005, 0.001]",0.0,"[-0.3, 0.2, -0.3]",0.0,50.2,0,data/ge_manual/matrix/L1/ss17_4ph_h1025/LC3/ss17_4ph_h1025_LC3.inp,data/ge_manual/matrix/L1/ss17_4ph_h1025/LC3/ss17_4ph_h1025_LC3.frd,out/ge_manual_matrix/maps/ss17_4ph_h1025_LC3.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,17-4PH (UNS S17400) H1025,project comparison,LC4,valid,,2214.8,398.9,"[-14.85, -92.05, 36.98]",pin exclusion,161.5,"[-15.42, -56.49, 31.46]",0.0298,"[-37.61, -92.8, 45.02]",0.561,999.7,2.506,6.19,False,False,True,"[-0.0, 0.0, -0.0]",0.0,"[0.0, 0.0, 0.1]",0.0,50.5,0,data/ge_manual/matrix/L1/ss17_4ph_h1025/LC4/ss17_4ph_h1025_LC4.inp,data/ge_manual/matrix/L1/ss17_4ph_h1025/LC4/ss17_4ph_h1025_LC4.frd,out/ge_manual_matrix/maps/ss17_4ph_h1025_LC4.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,"AISI 4140 quenched and tempered, ASTM A434 Class BD",project comparison,LC1,valid,,2214.8,1792.7,"[-6.11, -144.51, 7.85]",bolt exclusion,432.4,"[-25.9, -94.33, 23.2]",0.2339,"[-38.71, -59.19, 49.0]",0.565,689.5,0.385,1.595,True,False,True,"[0.002, -0.0, 0.019]",0.0001,"[0.5, -0.6, 0.2]",0.0,50.3,0,data/ge_manual/matrix/L1/aisi4140_qt/LC1/aisi4140_qt_LC1.inp,data/ge_manual/matrix/L1/aisi4140_qt/LC1/aisi4140_qt_LC1.frd,out/ge_manual_matrix/maps/aisi4140_qt_LC1.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,"AISI 4140 quenched and tempered, ASTM A434 Class BD",project comparison,LC2,valid,,2214.8,1028.0,"[-4.65, -5.69, 7.85]",bolt exclusion,216.0,"[53.73, -8.68, 9.4]",0.1173,"[-29.88, -91.14, 59.82]",0.56,689.5,0.671,3.192,True,False,True,"[0.003, -0.006, 0.003]",0.0,"[-0.3, -0.2, -0.3]",0.0,50.1,0,data/ge_manual/matrix/L1/aisi4140_qt/LC2/aisi4140_qt_LC2.inp,data/ge_manual/matrix/L1/aisi4140_qt/LC2/aisi4140_qt_LC2.frd,out/ge_manual_matrix/maps/aisi4140_qt_LC2.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,"AISI 4140 quenched and tempered, ASTM A434 Class BD",project comparison,LC3,valid,,2214.8,977.2,"[-6.11, -144.51, 7.85]",bolt exclusion,413.6,"[-26.47, -94.62, 22.73]",0.1553,"[-23.35, -75.58, 1.24]",0.566,689.5,0.706,1.667,True,False,True,"[-0.003, -0.008, -0.002]",0.0,"[-0.5, 0.3, -0.2]",0.0,50.2,0,data/ge_manual/matrix/L1/aisi4140_qt/LC3/aisi4140_qt_LC3.inp,data/ge_manual/matrix/L1/aisi4140_qt/LC3/aisi4140_qt_LC3.frd,out/ge_manual_matrix/maps/aisi4140_qt_LC3.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,"AISI 4140 quenched and tempered, ASTM A434 Class BD",project comparison,LC4,valid,,2214.8,397.4,"[-14.85, -92.05, 36.98]",pin exclusion,159.7,"[-15.42, -56.49, 31.46]",0.0299,"[-37.61, -92.8, 45.02]",0.563,689.5,1.735,4.317,False,False,True,"[-0.0, 0.0, -0.0]",0.0,"[-0.0, 0.0, -0.0]",0.0,50.1,0,data/ge_manual/matrix/L1/aisi4140_qt/LC4/aisi4140_qt_LC4.inp,data/ge_manual/matrix/L1/aisi4140_qt/LC4/aisi4140_qt_LC4.frd,out/ge_manual_matrix/maps/aisi4140_qt_LC4.png
